,yr_released,report_year,race_ethnicity,age_released,crime_class,crime_type,crime_subtype,release_type,super_dist,recidivist,target_pop,sex,felony,crime_types_combined,crime_class_type_subtype,max_sentence
6927,2011,2014,Black,1.0,C Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,0,0,0.0,True,Drug_Trafficking,C Felony_Drug_Trafficking,10.0
6928,2011,2014,Black,1.0,C Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,0,0,0.0,True,Drug_Trafficking,C Felony_Drug_Trafficking,10.0
6929,2011,2014,Black,1.0,C Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,0,0,0.0,True,Drug_Trafficking,C Felony_Drug_Trafficking,10.0
6930,2011,2014,Black,1.0,C Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,0,0,0.0,True,Drug_Trafficking,C Felony_Drug_Trafficking,10.0
6931,2011,2014,Black,1.0,C Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,0,0,0.0,True,Drug_Trafficking,C Felony_Drug_Trafficking,10.0
6932,2011,2014,Black,1.0,C Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,0,0,0.0,True,Drug_Trafficking,C Felony_Drug_Trafficking,10.0
6933,2011,2014,Black,1.0,D Felony,Public Order,Flight/Escape,Parole,Interstate Compact,0,0,0.0,True,Public Order_Flight/Escape,D Felony_Public Order_Flight/Escape,5.0
6934,2011,2014,White,2.0,D Felony,Property,Theft,Parole,8JD,0,1,0.0,True,Property_Theft,D Felony_Property_Theft,5.0
6935,2011,2014,White,2.0,D Felony,Property,Theft,Parole,8JD,0,1,0.0,True,Property_Theft,D Felony_Property_Theft,5.0
6936,2011,2014,White,2.0,C Felony,Drug,Trafficking,Parole,Interstate Compact,0,1,0.0,True,Drug_Trafficking,C Felony_Drug_Trafficking,10.0
6937,2011,2014,White,2.0,Felony - Enhanced,Drug,Trafficking,Parole,5JD,0,1,0.0,True,Drug_Trafficking,Felony - Enhanced_Drug_Trafficking,10.0
6938,2011,2014,White,2.0,Felony - Enhanced,Drug,Trafficking,Parole,5JD,0,1,0.0,True,Drug_Trafficking,Felony - Enhanced_Drug_Trafficking,10.0
6939,2011,2014,White,2.0,Felony - Enhanced,Drug,Trafficking,Parole,5JD,0,1,0.0,True,Drug_Trafficking,Felony - Enhanced_Drug_Trafficking,10.0
6940,2011,2014,White,1.0,C Felony,Property,Burglary,Parole,7JD,1,1,0.0,True,Property_Burglary,C Felony_Property_Burglary,10.0
6941,2011,2014,White,3.0,C Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,0,0,1.0,True,Drug_Trafficking,C Felony_Drug_Trafficking,10.0
6942,2011,2014,White,0.0,C Felony,Property,Burglary,Parole,1JD,0,1,0.0,True,Property_Burglary,C Felony_Property_Burglary,10.0
6943,2011,2014,White,1.0,C Felony,Drug,Trafficking,Parole,Interstate Compact,0,0,0.0,True,Drug_Trafficking,C Felony_Drug_Trafficking,10.0
6944,2011,2014,White,1.0,C Felony,Drug,Trafficking,Parole,Interstate Compact,0,0,0.0,True,Drug_Trafficking,C Felony_Drug_Trafficking,10.0
6945,2011,2014,White,1.0,C Felony,Drug,Trafficking,Parole,Interstate Compact,0,0,0.0,True,Drug_Trafficking,C Felony_Drug_Trafficking,10.0
6946,2011,2014,White,2.0,D Felony,Drug,Drug Possession,Parole,5JD,0,1,1.0,True,Drug_Drug Possession,D Felony_Drug_Drug Possession,5.0
6947,2011,2014,White,2.0,D Felony,Drug,Drug Possession,Parole,5JD,0,1,1.0,True,Drug_Drug Possession,D Felony_Drug_Drug Possession,5.0
6948,2011,2014,White,2.0,D Felony,Drug,Drug Possession,Parole,5JD,0,1,1.0,True,Drug_Drug Possession,D Felony_Drug_Drug Possession,5.0
6949,2011,2014,White,1.0,D Felony,Public Order,Other Public Order,Discharged – End of Sentence,unknown,1,0,0.0,True,Public Order_Other Public Order,D Felony_Public Order_Other Public Order,5.0
6950,2011,2014,White,2.0,C Felony,Drug,Trafficking,Parole,7JD,1,1,0.0,True,Drug_Trafficking,C Felony_Drug_Trafficking,10.0
6951,2011,2014,White,2.0,Felony - Enhanced,Other,Other Criminal,Parole,Interstate Compact,0,0,0.0,True,Other_Other Criminal,Felony - Enhanced_Other_Other Criminal,10.0
